bri,mired,watt
161,153,2.62
161,163,2.62
161,173,2.67
161,183,2.75
161,193,2.83
161,203,2.9
161,213,2.92
161,223,3.02
161,233,3.08
161,243,3.17
161,253,3.19
161,263,3.27
161,273,3.25
161,283,3.27
161,293,3.27
161,303,3.27
161,313,3.27
161,323,3.27
161,333,3.25
161,343,3.27
161,353,3.26
161,363,3.28
161,373,3.29
161,383,3.25
161,393,3.08
161,403,3.04
161,413,2.92
161,423,2.83
161,433,2.73
161,443,2.58
161,453,2.53
161,454,2.44
166,153,2.75
166,163,2.74
166,173,2.79
166,183,2.86
166,193,2.98
166,203,2.99
166,213,3.08
166,223,3.12
166,233,3.21
166,243,3.31
166,253,3.33
166,263,3.4
166,273,3.44
166,283,3.39
166,293,3.4
166,303,3.41
166,313,3.41
166,323,3.4
166,333,3.44
166,343,3.42
166,353,3.44
166,363,3.4
166,373,3.39
166,383,3.4
166,393,3.31
166,403,3.12
166,413,3.02
166,423,2.9
166,433,2.84
166,443,2.74
166,453,2.59
166,454,2.52
171,153,2.83
171,163,2.85
171,173,2.96
171,183,2.97
171,193,3.06
171,203,3.12
171,213,3.19
171,223,3.21
171,233,3.35
171,243,3.45
171,253,3.51
171,263,3.54
171,273,3.56
171,283,3.52
171,293,3.54
171,303,3.56
171,313,3.56
171,323,3.57
171,333,3.56
171,343,3.56
171,353,3.56
171,363,3.56
171,373,3.54
171,383,3.46
171,393,3.46
171,403,3.23
171,413,3.15
171,423,3.01
171,433,2.97
171,443,2.85
171,453,2.73
171,454,2.6
176,153,2.96
176,163,2.98
176,173,2.98
176,183,3.11
176,193,3.18
176,203,3.3
176,213,3.31
176,223,3.4
176,233,3.5
176,243,3.6
176,253,3.67
176,263,3.7
176,273,3.73
176,283,3.72
176,293,3.67
176,303,3.69
176,313,3.69
176,323,3.73
176,333,3.69
176,343,3.73
176,353,3.73
176,363,3.71
176,373,3.72
176,383,3.6
176,393,3.56
176,403,3.46
176,413,3.27
176,423,3.16
176,433,2.98
176,443,2.95
176,453,2.88
176,454,2.73
181,153,3.1
181,163,3.04
181,173,3.13
181,183,3.19
181,193,3.23
181,203,3.37
181,213,3.44
181,223,3.56
181,233,3.6
181,243,3.72
181,253,3.83
181,263,3.88
181,273,3.9
181,283,3.88
181,293,3.86
181,303,3.85
181,313,3.83
181,323,3.85
181,333,3.88
181,343,3.88
181,353,3.86
181,363,3.85
181,373,3.88
181,383,3.79
181,393,3.63
181,403,3.58
181,413,3.44
181,423,3.27
181,433,3.17
181,443,2.98
181,453,2.95
181,454,2.85
186,153,2.96
186,163,2.98
186,173,3.04
186,183,3.29
186,193,3.44
186,203,3.51
186,213,3.57
186,223,3.69
186,233,3.79
186,243,3.91
186,253,3.92
186,263,4.04
186,273,4.04
186,283,4.03
186,293,4.05
186,303,4.05
186,313,4.0
186,323,4.0
186,333,4.02
186,343,4.02
186,353,4.04
186,363,4.03
186,373,4.01
186,383,4.0
186,393,3.87
186,403,3.63
186,413,3.53
186,423,3.33
186,433,3.3
186,443,3.13
186,453,3.02
186,454,2.94
191,153,3.1
191,163,3.15
191,173,3.21
191,183,3.23
191,193,3.44
191,203,3.64
191,213,3.7
191,223,3.83
191,233,3.93
191,243,4.07
191,253,4.11
191,263,4.17
191,273,4.2
191,283,4.17
191,293,4.18
191,303,4.2
191,313,4.19
191,323,4.18
191,333,4.17
191,343,4.17
191,353,4.2
191,363,4.2
191,373,4.14
191,383,4.14
191,393,3.98
191,403,3.83
191,413,3.65
191,423,3.52
191,433,3.46
191,443,3.27
191,453,3.14
191,454,3.02
196,153,3.22
196,163,3.23
196,173,3.35
196,183,3.4
196,193,3.54
196,203,3.56
196,213,3.89
196,223,3.98
196,233,4.13
196,243,4.16
196,253,4.28
196,263,4.34
196,273,4.35
196,283,4.36
196,293,4.33
196,303,4.33
196,313,4.34
196,323,4.33
196,333,4.34
196,343,4.36
196,353,4.37
196,363,4.37
196,373,4.39
196,383,4.28
196,393,4.23
196,403,4.0
196,413,3.79
196,423,3.67
196,433,3.41
196,443,3.39
196,453,3.27
196,454,3.17
201,153,3.4
201,163,3.4
201,173,3.48
201,183,3.48
201,193,3.61
201,203,3.79
201,213,3.88
201,223,4.09
201,233,4.15
201,243,4.31
201,253,4.49
201,263,4.58
201,273,4.56
201,283,4.57
201,293,4.58
201,303,4.54
201,313,4.5
201,323,4.49
201,333,4.49
201,343,4.52
201,353,4.54
201,363,4.54
201,373,4.39
201,383,4.33
201,393,4.24
201,403,4.2
201,413,3.98
201,423,3.8
201,433,3.67
201,443,3.45
201,453,3.41
201,454,3.26
206,153,3.5
206,163,3.53
206,173,3.58
206,183,3.73
206,193,3.71
206,203,3.85
206,213,4.0
206,223,4.11
206,233,4.32
206,243,4.41
206,253,4.57
206,263,4.71
206,273,4.72
206,283,4.71
206,293,4.7
206,303,4.67
206,313,4.7
206,323,4.71
206,333,4.76
206,343,4.72
206,353,4.68
206,363,4.61
206,373,4.57
206,383,4.5
206,393,4.27
206,403,4.12
206,413,4.04
206,423,3.89
206,433,3.86
206,443,3.59
206,453,3.46
206,454,3.33
211,153,3.62
211,163,3.65
211,173,3.67
211,183,3.83
211,193,3.9
211,203,4.05
211,213,4.09
211,223,4.21
211,233,4.38
211,243,4.49
211,253,4.82
211,263,4.84
211,273,4.93
211,283,4.91
211,293,4.9
211,303,4.88
211,313,4.89
211,323,4.89
211,333,4.92
211,343,4.92
211,353,4.71
211,363,4.72
211,373,4.69
211,383,4.66
211,393,4.42
211,403,4.37
211,413,4.14
211,423,4.06
211,433,3.92
211,443,3.69
211,453,3.67
211,454,3.47
216,153,3.76
216,163,3.77
216,173,3.83
216,183,4.01
216,193,4.06
216,203,4.17
216,213,4.33
216,223,4.43
