bri,mired,watt
246,333,8.78
246,343,8.64
246,353,8.52
246,363,8.37
246,373,8.33
246,383,8.13
246,393,7.93
246,403,7.85
246,413,7.68
246,423,7.71
246,433,2.97
246,443,6.47
246,453,7.24
246,454,7.24
251,153,7.12
251,163,7.15
251,173,7.45
251,183,7.7
251,193,8.05
251,203,8.1
251,213,8.61
251,223,9.05
251,233,9.15
251,243,9.62
251,253,10.04
251,263,10.14
251,273,10.11
251,283,9.74
251,293,9.55
251,303,9.38
251,313,9.31
251,323,9.23
251,333,9.1
251,343,9.04
251,353,8.89
251,363,8.85
251,373,8.66
251,383,8.41
251,393,8.36
251,403,8.12
251,413,8.0
251,423,8.09
251,433,8.07
251,443,7.79
251,453,7.46
251,454,7.43
255,153,7.38
255,163,7.46
255,173,7.55
255,183,7.97
255,193,8.29
255,203,6.88
255,213,4.38
255,223,8.77
255,233,8.77
255,243,10.13
255,253,10.2
255,263,10.48
255,273,10.29
255,283,10.08
255,293,9.88
255,303,9.84
255,313,9.73
255,323,9.55
255,333,9.4
255,343,9.26
255,353,9.22
255,363,9.1
255,373,8.88
255,383,8.79
255,393,8.47
255,403,8.44
255,413,8.28
255,423,8.25
255,433,7.95
255,443,7.79
255,453,7.43
255,454,7.42
